Rank,Class Rk,Year,Player Name,Tier,WR Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Type,Build,Separator,Height,Weight,BMI,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,Breakout,Y/RR,YAC/R,aDOT,EPA/P,aYPTPA,CTPRR,UCTPRR,Drop%,CC%,Wide %,Slot %,Speed,HaSS
225,17,2019,Antoine Wesley,Outlier,7.70,63.40,-0.42,Texas Tech,3,10/22/97,27.95,JR,21.52,Hybrid,PROTO X,Poor Separator,76,206,25.07,4.45,0,0.00%,0.00%,0.00%,3.16%,33.33%,33.33%,31.66%,20.87,2.63,7.10,12.10,1.19,2.64,5%,18%,2.20%,0.0%,49.65%,50.40%,105.06,110.47
226,22,2023,Tyler Scott,Outlier,7.69,63.20,-0.42,Cincinnati,6,10/21/01,23.95,JR,21.53,Wide,RAT,Poor Separator,70,177,25.40,4.32,4,0.00%,0.00%,0.84%,15.40%,28.49%,28.49%,24.22%,20.86,2.49,6.60,12.70,0.94,2.61,6%,19%,11.30%,0.0%,95.90%,3.95%,101.64,94.47
227,21,2022,Bo Melton,Outlier,7.69,63.00,-0.43,Rutgers,2,5/18/99,26.38,SR,22.96,Wide,RAT,Elite Earner,71,194,27.06,4.34,7,5.98%,15.45%,25.54%,35.66%,27.73%,31.69%,31.69%,20.30,2.83,6.30,11.90,0.74,2.21,7%,34%,8.20%,0.0%,79.85%,20.15%,109.36,103.83
228,13,2016,Demarcus Robinson,Outlier,7.69,62.70,-0.43,Florida,1,9/21/94,31.04,JR,21.61,Wide,PROTO Z,N/A,73,203,26.78,4.59,4,0.00%,0.00%,3.36%,37.52%,19.44%,28.48%,28.48%,19.96,2.48,5.90,14.70,0.00,0.00,N/A,N/A,9.40%,0.0%,88.20%,11.80%,91.47,90.54
228,23,2025,Isaiah Neyor,Outlier,7.69,62.70,-0.43,Nebraska,2,6/7/01,24.32,SR,23.90,Hybrid,PROTO X,Poor Separator,76,218,26.54,4.40,0,26.96%,41.51%,0.00%,4.84%,16.60%,29.06%,29.06%,19.26,3.50,3.50,13.90,1.91,0.00,5%,13%,8.10%,0.0%,72.85%,27.15%,116.33,122.31
230,22,2024,Ainias Smith,Outlier,7.68,62.60,-0.43,Texas A&M,1,5/31/01,24.34,RS SR,22.92,Slot,PROTO Z,Elite Separator,69,190,28.06,4.55,5,8.10%,24.09%,20.33%,33.16%,24.46%,28.81%,28.81%,19.28,2.75,10.00,10.40,0.86,3.03,3%,20%,1.90%,0.0%,17.25%,79.95%,88.66,80.65
231,16,2026,Omar Cooper,Outlier,7.67,62.40,-0.44,Indiana,2,12/14/03,21.80,RS JR,22.38,Wide,PROTO Z,Poor Earner,72,204,27.67,4.5,0,0.00%,0.00%,13.94%,19.35%,33.69%,33.69%,33.69%,21.73,2.52,12.10,10.40,0.00,0.00,1%,4%,3.40%,0.0%,90.30%,9.70%,99.50,96.47
232,24,2025,Jordan Watkins,Outlier,7.64,62.20,-0.46,Ole Miss,1,2/15/02,23.63,SR,23.21,Hybrid,RAT,Poor Earner,71,196,27.34,4.38,4,2.92%,18.89%,14.40%,19.96%,21.52%,21.52%,21.52%,22.55,2.54,6.80,15.60,0.98,0.86,3%,17%,3.90%,0.0%,39.80%,56.75%,106.51,101.12
233,22,2017,Dede Westbrook,Outlier,7.64,62.10,-0.46,Oklahoma,3,11/21/93,31.87,SR,23.45,Wide,BALL HOG,N/A,72,178,24.14,4.39,4,0.00%,0.00%,0.00%,18.55%,36.87%,36.87%,35.02%,22.81,4.07,9.70,13.50,1.12,3.97,N/A,N/A,4.80%,0.0%,85.60%,10.75%,95.85,92.93
234,18,2019,Jalen Hurd,Outlier,7.59,61.90,-0.48,Baylor,3,1/23/96,29.70,SR,23.27,Slot,PROTO X,Elite Separator,77,229,27.16,4.37,3,7.58%,7.36%,2.61%,0.00%,25.09%,25.09%,23.84%,22.62,2.10,5.20,10.60,0.55,2.10,4%,20%,11.50%,0.0%,3.20%,95.60%,125.59,134.66
235,22,2021,Jaelon Darden,Outlier,7.59,61.70,-0.48,North Texas,10,1/14/99,26.72,SR,22.30,Slot,BALL HOG,Elite Separator,68,174,26.75,4.46,4,0.00%,6.88%,14.42%,21.65%,42.05%,42.05%,29.43%,20.64,4.31,7.70,12.90,0.65,3.98,3%,37%,8.60%,0.0%,10.00%,89.85%,87.95,77.63
236,14,2016,Pharoh Cooper,Outlier,7.58,61.60,-0.49,South Carolina,1,3/7/95,30.58,JR,21.16,Slot,BALL HOG,N/A,71,203,28.31,4.65,4,0.00%,0.00%,0.00%,30.95%,32.05%,32.05%,32.05%,19.50,2.67,7.90,10.70,0.00,0.00,N/A,N/A,7.00%,0.0%,9.45%,87.60%,86.84,82.45
237,21,2020,Donovan Peoples-Jones,Outlier,7.53,61.40,-0.52,Michigan,2,2/19/99,26.62,JR,21.19,Hybrid,PROTO Z,Elite Earner,74,212,27.22,4.48,6,0.00%,0.00%,12.44%,21.83%,13.43%,17.63%,17.63%,19.54,2.06,5.40,13.80,0.72,1.71,5%,20%,10.80%,0.0%,55.15%,44.70%,105.26,106.33
238,25,2025,Elijhah Badger,Outlier,7.48,61.30,-0.55,Florida,3,8/15/01,24.13,RS JR,23.72,Hybrid,DEEP,Poor Separator,73,200,26.39,4.43,0,0.00%,4.48%,28.55%,30.82%,29.76%,30.29%,28.78%,21.05,2.96,8.40,17.30,0.91,0.46,6%,17%,0.00%,0.0%,72.60%,27.40%,103.86,102.80
239,23,2017,Chad Hansen,Outlier,7.41,61.10,-0.59,California,5,1/18/95,30.71,JR,22.29,Wide,BALL HOG,N/A,74,185,23.75,4.54,4,0.00%,0.00%,0.00%,5.09%,29.01%,29.01%,27.56%,21.65,3.13,5.90,11.60,0.53,2.46,N/A,N/A,4.20%,0.0%,97.00%,3.70%,87.09,87.98
240,22,2020,Van Jefferson,Outlier,7.39,60.90,-0.60,Florida,1,7/26/96,29.19,RS SR,23.76,Hybrid,DEEP,Poor Earner,73,201,26.52,4.43,2,0.00%,14.37%,13.89%,21.42%,18.20%,19.81%,19.81%,22.11,1.73,4.60,16.30,0.84,1.55,3%,16%,7.50%,0.0%,74.85%,25.15%,104.38,103.32
241,23,2023,Bryce Ford-Wheaton,Outlier,7.39,60.80,-0.60,West Virginia,3,3/9/00,25.57,RS JR,23.15,Wide,PROTO X,Poor Separator,76,221,26.90,4.38,0,0.00%,11.55%,23.42%,21.09%,24.73%,24.73%,23.49%,20.51,1.73,6.00,11.50,0.72,1.58,9%,18%,8.80%,0.0%,92.10%,7.90%,120.10,126.27
242,22,2022,Jalen Nailor,Outlier,7.36,60.60,-0.61,Michigan State,2,3/21/99,26.54,RS JR,23.12,Wide,DEEP,Elite Separator,72,190,25.77,4.5,6,0.00%,4.89%,3.33%,30.80%,21.07%,25.94%,25.94%,21.48,2.83,10.50,16.00,0.72,2.56,3%,27%,9.50%,0.0%,96.35%,3.50%,92.67,89.85
243,24,2023,Justin Shorter,Outlier,7.36,60.40,-0.61,Florida,1,4/17/00,25.46,RS JR,23.04,Wide,SLOB,Poor Separator,76,229,27.87,4.55,5,3.06%,7.74%,6.44%,18.03%,28.65%,28.65%,28.65%,22.38,2.42,3.30,17.70,0.78,2.19,5%,16%,0.00%,0.0%,81.00%,18.35%,106.86,112.36
244,24,2017,Amba Etta-Tawo,Outlier,7.35,60.30,-0.62,Syracuse,4,11/10/93,31.90,SR,23.48,Wide,SLOB,N/A,74,203,26.06,4.49,0,0.00%,20.12%,10.05%,10.33%,38.44%,38.44%,36.52%,19.82,2.49,10.10,15.20,0.84,2.84,N/A,N/A,6.00%,0.0%,82.90%,9.50%,99.89,100.92
245,25,2023,Rakim Jarrett,Outlier,7.35,60.10,-0.62,Maryland,2,1/24/01,24.69,JR,22.27,Slot,RAT,Elite Separator,72,192,26.04,4.44,0,0.00%,0.00%,23.86%,20.93%,16.46%,20.16%,20.16%,19.63,2.10,6.90,8.90,1.25,1.70,2%,19%,16.70%,0.0%,24.65%,74.95%,98.81,95.80
246,18,2015,Darren Waller,Outlier,7.35,60.00,-0.62,Georgia Tech,4,9/13/92,33.06,SR,22.63,Wide,DEEP,N/A,78,238,27.50,4.46,6,0.00%,0.00%,8.91%,31.27%,27.41%,29.34%,27.87%,20.98,2.65,3.30,19.60,0.00,0.00,N/A,N/A,0.00%,0.0%,95.10%,2.20%,120.30,131.52
247,15,2016,Tajae Sharpe,Outlier,7.31,59.80,-0.65,UMass,9,12/23/94,30.78,SR,21.36,Hybrid,BALL HOG,N/A,74,194,24.91,4.55,5,0.00%,10.03%,36.23%,34.24%,42.30%,35.24%,24.66%,18.70,2.50,4.90,13.60,0.00,0.00,N/A,N/A,2.60%,0.0%,73.20%,26.60%,90.53,91.45
248,19,2019,Emanuel Hall,Outlier,7.30,59.60,-0.65,Missouri,1,5/21/97,28.37,SR,21.94,Wide,DEEP,Elite Earner,75,195,24.37,4.39,0,0.00%,3.22%,8.66%,20.36%,22.80%,22.80%,22.80%,20.29,3.88,6.10,20.90,1.13,2.94,5%,22%,9.80%,0.0%,95.10%,4.90%,105.00,108.23
249,25,2017,KD Cannon,Outlier,7.30,59.50,-0.65,Baylor,3,11/5/95,29.92,JR,21.49,Wide,RAT,N/A,71,183,25.52,4.42,0,0.00%,0.00%,21.65%,23.06%,33.27%,33.27%,31.61%,18.84,2.72,6.30,18.10,0.58,2.65,N/A,N/A,7.40%,0.0%,84.70%,33.75%,95.89,91.04
250,26,2025,Jamaal Pritchett,Outlier,7.30,59.30,-0.65,South Alabama,8,6/10/03,22.32,RS SR,21.90,Hybrid,RAT,Elite Separator,68,170,25.85,4.42,0,0.00%,37.44%,1.12%,24.90%,38.54%,38.54%,29.29%,18.24,3.34,8.30,11.20,1.04,0.00,3%,32%,4.20%,0.0%,47.40%,51.75%,89.08,79.27
251,26,2017,Isaiah Ford,Outlier,7.28,59.10,-0.66,Virginia Tech,4,2/9/96,29.65,JR,21.23,Wide,SLOB,N/A,74,201,25.81,4.58,7,0.00%,0.00%,25.09%,39.65%,29.84%,34.74%,33.01%,18.57,2.69,4.80,14.50,0.46,2.53,N/A,N/A,8.10%,0.0%,98.20%,5.15%,91.36,92.30
252,26,2023,A.T. Perry,Outlier,7.27,59.00,-0.66,Wake Forest,4,10/26/99,25.94,RS JR,23.52,Wide,PROTO X,Elite Earner,75,200,25.00,4.47,6,0.00%,1.65%,12.50%,30.04%,26.18%,28.11%,26.71%,21.85,2.66,4.50,14.70,0.78,2.49,7%,27%,9.00%,0.0%,90.75%,9.15%,100.19,103.27
253,17,2026,Hudson Clement,Outlier,7.27,58.80,-0.67,Illinois,2,6/1/04,21.34,JR,21.92,Wide,PROTO Z,Poor Separator,73,205,27.05,4.5,0,0.00%,0.00%,21.21%,29.36%,10.37%,19.87%,19.87%,19.26,3.08,9.40,10.50,0.00,0.00,7%,17%,5.60%,0.0%,91.20%,8.50%,99.98,98.97
254,27,2017,Malachi Dupre,Outlier,7.25,58.60,-0.68,LSU,1,10/12/95,29.98,JR,21.56,Slot,DEEP,N/A,74,196,25.16,4.46,7,0.00%,0.00%,15.01%,32.24%,26.00%,29.12%,29.12%,19.90,2.56,4.40,20.50,0.80,2.13,N/A,N/A,6.80%,0.0%,31.30%,65.30%,99.07,100.08
255,18,2026,Chris Brazzell II,Outlier Lite,7.23,58.50,-0.69,Tennessee,1,10/23/03,21.95,SR,22.53,Wide,PROTO Z,Poor Separator,72,185,25.09,4.5,0,0.00%,2.32%,25.44%,11.58%,31.53%,31.53%,31.53%,19.87,3.98,5.60,13.40,0.00,0.00,4%,17%,17.10%,0.0%,96.60%,3.40%,90.23,87.48
256,27,2025,Ricky White,Outlier Lite,7.23,58.30,-0.69,UNLV,7,2/6/02,23.65,SR,23.24,Hybrid,BALL HOG,Elite Earner,73,184,24.28,4.61,7,23.34%,0.00%,24.11%,44.40%,45.99%,45.99%,34.95%,18.59,3.83,6.60,12.40,1.07,0.00,7%,29%,8.20%,0.0%,69.55%,30.45%,81.48,80.65
257,19,2026,Barion Brown,Outlier Lite,7.21,58.20,-0.70,LSU,1,12/12/03,21.81,SR,22.39,Wide,RAT,Elite Separator,71,182,25.38,4.37,0,0.00%,23.06%,19.81%,17.76%,18.09%,20.57%,20.57%,18.73,2.40,6.20,8.80,0.00,0.00,2%,22%,12.10%,0.0%,83.60%,14.00%,99.81,94.76
258,28,2017,Jerome Lane,Outlier Lite,7.20,58.00,-0.70,Akron,9,3/9/96,29.57,JR,21.15,Wide,SLOB,N/A,78,230,26.58,4.60,0,0.00%,0.00%,0.00%,31.18%,33.24%,33.24%,23.26%,19.49,3.12,7.30,15.70,0.85,2.57,N/A,N/A,6.10%,0.0%,97.80%,1.20%,102.74,112.31
259,16,2016,Jordan Payton,Outlier Lite,7.18,57.80,-0.72,UCLA,5,9/1/93,32.09,SR,22.67,Wide,BALL HOG,N/A,73,207,27.31,4.47,5,0.00%,0.00%,0.00%,28.50%,29.63%,29.63%,28.15%,21.01,2.33,6.50,12.80,0.00,0.00,N/A,N/A,4.90%,0.0%,94.80%,4.90%,103.70,102.64
260,29,2017,Artavis Scott,Outlier Lite,7.17,57.50,-0.72,Clemson,4,10/12/94,30.98,JR,22.56,Hybrid,RAT,N/A,71,194,27.06,4.61,0,0.00%,0.00%,28.35%,20.60%,12.26%,20.30%,19.29%,19.90,3.10,12.40,6.60,0.28,0.98,N/A,N/A,6.20%,0.0%,65.00%,27.35%,85.91,81.56
260,23,2021,Marquez Stevenson,Outlier Lite,7.17,57.50,-0.72,Houston,6,3/26/98,27.53,SR,23.11,Slot,PROTO Z,Elite Separator,70,180,25.73,4.48,6,0.93%,32.49%,23.61%,12.58%,14.16%,22.54%,19.16%,19.45,2.90,10.50,12.20,0.80,2.89,2%,20%,4.80%,0.0%,9.25%,90.60%,89.37,83.29
262,23,2022,Kyle Philips,Outlier Lite,7.17,57.30,-0.72,UCLA,5,6/17/99,26.30,RS JR,22.88,Slot,PROTO Z,Elite Separator,71,189,26.36,4.58,5,0.00%,1.09%,22.21%,23.55%,27.23%,27.23%,25.87%,20.22,2.11,6.00,9.80,1.16,2.40,3%,24%,9.20%,0.0%,6.60%,88.20%,85.91,81.56
263,27,2023,Dontay Demus Jr.,Outlier Lite,7.16,57.00,-0.73,Maryland,2,9/26/00,25.02,RS SR,22.60,Wide,PROTO Z,Poor Separator,73,212,27.97,4.57,0,16.40%,29.93%,27.65%,33.29%,6.89%,20.09%,20.09%,18.94,3.36,9.90,9.80,1.19,2.68,5%,11%,8.30%,0.0%,96.65%,3.35%,97.21,96.22
263,28,2025,LaJohntay Wester,Outlier Lite,7.16,57.00,-0.73,Colorado,3,3/29/02,23.52,RS SR,23.10,Slot,RAT,Poor Earner,69,163,24.07,4.47,6,8.77%,22.40%,26.34%,45.01%,22.52%,33.77%,32.08%,19.44,2.66,7.10,8.10,1.09,0.00,2%,15%,3.90%,0.0%,11.55%,81.55%,81.66,74.27
265,24,2022,Jaivon Heiligh,Outlier Lite,7.15,56.90,-0.74,Coastal Carolina,8,9/2/99,26.09,SR,22.67,Hybrid,BALL HOG,Elite Separator,74,201,25.81,4.42,0,0.00%,9.32%,20.89%,35.93%,32.63%,34.28%,26.05%,20.01,3.51,5.30,13.40,0.97,3.68,3%,28%,7.00%,0.0%,71.80%,27.40%,105.33,106.40
266,28,2023,Matt Landers,Outlier Lite,7.12,56.70,-0.75,Arkansas,1,6/6/00,25.33,RS SR,22.90,Wide,PROTO X,Poor Separator,76,200,24.34,4.37,0,0.00%,3.36%,1.08%,16.54%,29.53%,29.53%,29.53%,22.24,2.33,11.40,14.40,1.77,2.71,6%,13%,7.80%,0.0%,91.95%,7.95%,109.68,115.33
267,19,2018,Marquez Valdes-Scantling,Outlier Lite,7.11,56.50,-0.76,USF,6,10/10/94,30.99,RS SR,23.56,Wide,DEEP,Elite Earner,76,201,24.47,4.37,5,14.04%,10.89%,0.00%,14.11%,29.43%,29.43%,25.01%,22.92,2.31,8.00,18.00,0.49,2.40,5%,19%,14.50%,0.0%,77.05%,22.80%,110.23,115.90
268,29,2023,Jalen Cropper,Outlier Lite,7.11,56.40,-0.76,Fresno State,7,5/3/01,24.42,SR,22.00,Hybrid,RAT,Elite Separator,71,172,23.99,4.4,0,0.00%,7.20%,24.32%,21.17%,28.67%,28.67%,21.79%,19.36,2.39,6.70,10.20,0.89,2.35,3%,22%,6.70%,0.0%,43.60%,55.85%,91.78,87.14
269,20,2026,Eugene Wilson III,Outlier Lite,7.09,56.20,-0.77,Florida,1,12/16/04,20.79,RS SO,21.38,Hybrid,RAT,Elite Earner,70,189,27.12,4.43,0,0.00%,0.00%,20.98%,29.46%,9.08%,19.27%,19.27%,18.72,2.71,7.90,2.90,0.00,0.00,6%,20%,0.00%,0.0%,53.50%,44.60%,98.15,91.22
270,25,2022,Tre Turner,Outlier Lite,7.07,56.00,-0.78,Virginia Tech,4,4/21/00,25.45,SR,22.03,Hybrid,PROTO Z,Elite Earner,74,185,23.75,4.44,0,0.00%,16.21%,20.35%,23.97%,29.44%,29.44%,27.97%,19.37,2.53,7.10,15.80,0.88,2.56,7%,21%,4.80%,0.0%,72.50%,26.70%,95.21,96.18
271,19,2015,Rashad Greene,Outlier Lite,7.06,55.90,-0.79,Florida State,4,9/23/92,33.03,SR,22.61,Wide,BALL HOG,N/A,71,182,25.38,4.53,5,0.00%,25.77%,19.95%,25.50%,32.15%,32.15%,30.54%,18.95,2.60,6.10,11.00,0.00,0.00,N/A,N/A,3.90%,0.0%,76.70%,22.30%,86.44,82.07
272,30,2017,Isaiah McKenzie,Outlier Lite,7.06,55.70,-0.79,Georgia,1,4/9/95,30.49,JR,22.07,Slot,RAT,N/A,68,164,24.94,4.42,5,0.00%,0.00%,2.58%,5.11%,25.17%,25.17%,25.17%,21.42,2.89,9.80,9.10,0.68,1.64,N/A,N/A,13.70%,0.0%,7.80%,74.75%,85.94,76.47
273,21,2026,Zavion Thomas,Outlier Lite,7.06,55.60,-0.79,LSU,1,9/14/04,21.05,SR,21.63,Wide,RAT,Poor Separator,72,185,25.09,4.38,0,0.00%,0.43%,25.10%,5.32%,12.62%,18.86%,18.86%,18.98,1.80,5.60,7.20,0.00,0.00,6%,17%,0.00%,0.0%,79.60%,18.20%,100.53,97.47
274,30,2023,Andrei Iosivas,Outlier Lite,7.05,55.40,-0.79,Princeton,11,10/15/99,25.97,SR,23.55,Hybrid,PROTO X,Elite Earner,75,205,25.62,4.43,6,0.00%,10.10%,0.00%,26.54%,34.39%,34.39%,20.63%,21.88,2.71,6.70,10.60,0.00,0.00,5%,20%,4.50%,0.0%,54.50%,45.30%,106.46,109.73
275,24,2021,Mike Strachan,Outlier Lite,7.03,55.20,-0.81,Charleston,11,8/13/97,28.14,SR,23.73,N/A,SLOB,Poor Earner,77,225,26.68,4.52,7,0.00%,13.04%,42.74%,41.49%,0.00%,42.12%,25.27%,21.07,3.04,8.40,0.00,0.00,0.00,0%,0%,0.00%,0.0%,0.00%,0.00%,107.81,115.60
276,29,2025,Tez Johnson,Outlier Lite,7.02,55.10,-0.81,Oregon,2,5/18/02,23.38,RS SR,22.96,Slot,RAT,Elite Separator,70,154,22.10,4.51,7,6.61%,24.86%,27.11%,24.34%,26.77%,26.94%,26.94%,19.30,3.45,8.50,7.60,0.99,0.00,1%,28%,3.50%,0.0%,11.05%,86.05%,74.45,69.19
277,23,2024,Jalen Coker,Outlier Lite,7.01,54.90,-0.81,Holy Cross,11,10/30/01,23.93,SR,22.51,Wide,PROTO Z,Poor Separator,73,208,27.44,4.57,0,0.00%,28.24%,27.66%,39.82%,46.29%,46.29%,27.77%,18.86,3.51,6.10,15.70,0.00,0.00,8%,12%,3.30%,0.0%,85.85%,13.50%,95.37,94.40
278,32,2017,Kendrick Bourne,Outlier Lite,6.98,54.70,-0.83,Eastern Washington,11,8/4/95,30.17,JR,21.75,N/A,PROTO Z,N/A,73,203,26.78,4.51,0,0.00%,2.23%,16.56%,25.68%,21.39%,23.54%,14.12%,20.09,2.04,6.00,10.00,0.00,0.00,N/A,N/A,0.00%,0.0%,0.00%,0.00%,98.13,97.13
279,23,2020,Isaiah Hodgins,Outlier Lite,6.97,54.60,-0.84,Oregon State,5,10/21/98,26.95,JR,21.52,Wide,SLOB,Elite Earner,76,210,25.56,4.61,6,0.00%,0.00%,11.63%,29.30%,38.26%,38.26%,36.34%,19.87,2.67,3.70,12.80,0.99,2.79,5%,22%,1.10%,0.0%,91.65%,8.20%,92.99,97.78
280,20,2015,Tony Lippett,Outlier Lite,6.97,54.40,-0.84,Michigan State,2,7/2/92,33.26,SR,22.83,Wide,BALL HOG,N/A,74,192,24.65,4.61,5,0.00%,0.00%,14.36%,24.13%,34.69%,34.69%,34.69%,21.18,3.65,5.90,13.30,0.00,0.00,N/A,N/A,3.00%,0.0%,85.60%,14.40%,85.02,85.89
281,24,2024,Jamari Thrash,Outlier Lite,6.96,54.30,-0.84,Louisville,4,12/19/00,24.79,RS SR,23.37,Wide,PROTO Z,Elite Earner,72,188,25.50,4.46,5,0.66%,6.99%,21.52%,45.96%,30.11%,38.04%,36.14%,20.72,2.94,6.80,15.00,1.10,3.74,5%,22%,11.30%,0.0%,87.95%,12.05%,95.03,92.13
282,31,2023,Michael Jefferson,Outlier Lite,6.95,54.10,-0.85,Louisiana,6,12/21/99,25.79,RS JR,23.36,Wide,PROTO X,Elite Earner,76,199,24.22,4.56,0,6.48%,32.88%,10.03%,15.72%,28.00%,30.44%,25.87%,19.71,3.36,5.70,15.40,1.49,1.97,6%,22%,7.30%,0.0%,82.65%,17.35%,92.05,96.79
283,32,2023,Demario Douglas,Outlier Lite,6.94,53.90,-0.86,Liberty,8,12/8/00,24.82,RS JR,22.40,Slot,RAT,Elite Separator,68,179,27.22,4.44,6,0.00%,3.62%,14.42%,21.15%,35.25%,35.25%,26.79%,20.73,2.75,6.70,12.30,1.05,2.51,4%,25%,5.00%,0.0%,11.90%,86.35%,92.12,81.98
284,20,2019,Jaylen Smith,Outlier Lite,6.90,53.60,-0.88,Louisville,4,8/1/97,28.18,SR,21.75,Hybrid,PROTO X,Poor Earner,74,227,29.14,4.47,0,0.00%,11.80%,15.86%,25.14%,21.71%,23.43%,22.26%,20.10,2.83,6.40,14.80,0.57,2.87,4%,16%,18.20%,0.0%,68.50%,30.65%,113.72,114.88
284,25,2024,Malik Washington,Outlier Lite,6.90,53.60,-0.88,Virginia,4,10/20/00,24.95,RS SR,23.53,Slot,BALL HOG,Elite Separator,68,191,29.04,4.47,6,1.94%,5.15%,27.17%,27.50%,45.99%,45.99%,43.69%,20.88,3.15,6.40,9.20,0.77,1.66,4%,28%,2.60%,0.0%,13.95%,82.85%,95.68,85.15
286,30,2025,Dominic Lovett,Outlier Lite,6.89,53.40,-0.89,Georgia,1,11/8/02,22.90,SR,22.48,Slot,RAT,Elite Earner,70,185,26.54,4.41,7,0.00%,5.53%,29.75%,14.37%,15.35%,22.55%,22.55%,19.81,1.95,6.70,7.20,0.79,0.79,4%,19%,7.80%,0.0%,12.40%,85.00%,97.82,90.92
287,31,2017,Jehu Chesson,Outlier Lite,6.88,53.30,-0.89,Michigan,2,12/29/93,31.77,SR,23.34,Hybrid,PROTO Z,N/A,74,205,26.32,4.47,4,0.00%,6.86%,7.54%,24.72%,18.14%,21.43%,21.43%,21.68,2.10,5.70,13.90,0.35,1.35,N/A,N/A,5.40%,0.0%,72.20%,27.50%,102.70,103.75
288,26,2022,Calvin Austin III,Outlier Lite,6.86,53.10,-0.90,Memphis,6,3/24/99,26.53,RS SR,23.11,Wide,RAT,Elite Earner,69,161,23.78,4.32,4,0.00%,0.70%,7.54%,31.09%,32.05%,32.05%,27.24%,21.47,2.99,7.20,13.40,1.18,2.58,7%,25%,6.30%,0.0%,84.75%,15.25%,92.45,84.09
289,24,2020,Collin Johnson,Outlier Lite,6.86,53.00,-0.90,Texas,3,9/23/97,28.03,SR,22.60,Wide,SLOB,Poor Separator,78,220,25.42,4.58,5,0.00%,10.42%,22.73%,27.25%,14.86%,21.06%,20.00%,19.95,2.00,3.80,16.20,0.78,2.24,5%,15%,5.00%,0.0%,88.05%,11.75%,100.00,109.32
290,27,2022,Kevin Austin,Outlier Lite,6.85,52.80,-0.91,Notre Dame,2,3/30/00,25.51,JR,22.09,Hybrid,PROTO Z,Poor Separator,74,216,27.73,4.43,0,0.00%,0.00%,2.75%,0.63%,24.18%,24.18%,24.18%,21.44,2.43,6.40,14.70,1.08,2.12,6%,16%,9.40%,0.0%,74.10%,25.90%,112.17,113.31
291,25,2020,John Hightower,Outlier Lite,6.85,52.60,-0.91,Boise State,7,5/31/96,29.35,SR,23.91,Wide,DEEP,Elite Earner,74,190,24.39,4.43,5,0.00%,0.00%,0.00%,13.28%,25.74%,25.74%,19.56%,23.28,4.00,7.10,18.60,0.78,2.03,5%,21%,7.30%,0.0%,90.50%,9.40%,98.67,99.67
292,33,2023,Elijah Higgins,Outlier Lite,6.83,52.50,-0.92,Stanford,5,10/27/00,24.93,SR,22.51,Slot,SLOB,Poor Earner,75,235,29.37,4.54,6,0.00%,0.00%,10.21%,19.36%,23.07%,23.07%,21.92%,21.85,1.83,7.00,7.10,0.86,1.57,3%,18%,6.30%,0.0%,34.55%,63.70%,110.63,114.03
293,26,2024,Brenden Rice,Outlier Lite,6.83,52.30,-0.92,USC,5,3/18/02,23.55,SR,22.13,Wide,SLOB,Elite Earner,74,208,26.71,4.5,7,0.00%,9.93%,20.70%,13.01%,19.79%,20.25%,19.24%,19.47,2.75,6.30,15.10,1.50,1.50,4%,20%,4.30%,0.0%,89.40%,10.30%,101.45,102.48
294,17,2016,Braxton Miller,Outlier Lite,6.82,52.10,-0.93,Ohio State,2,11/30/92,32.85,RS SR,23.42,Slot,PROTO Z,N/A,73,205,27.05,4.50,3,0.00%,0.00%,0.00%,0.00%,13.94%,13.94%,13.94%,N/A,1.94,6.20,11.00,0.00,0.00,N/A,N/A,3.70%,0.0%,2.20%,44.00%,99.98,98.97
295,26,2020,Joe Reed,Outlier Lite,6.80,52.00,-0.94,Virginia,4,1/4/98,27.75,SR,22.32,Slot,PROTO X,Elite Earner,72,224,30.38,4.47,5,0.00%,2.68%,7.55%,16.90%,18.12%,18.12%,17.21%,N/A,2.10,12.00,11.40,1.13,1.44,4%,21%,2.50%,0.0%,26.80%,68.25%,112.21,108.80
296,21,2015,Jamison Crowder,Outlier Lite,6.77,51.80,-0.95,Duke,4,6/17/93,32.30,SR,21.87,Wide,BALL HOG,N/A,69,175,25.84,4.56,4,0.00%,4.99%,29.10%,39.15%,37.09%,38.12%,36.22%,19.22,2.31,6.50,11.00,0.00,0.00,N/A,N/A,10.60%,0.0%,81.90%,17.30%,80.95,73.63
297,21,2019,Kelvin Harmon,Outlier Lite,6.74,51.70,-0.97,NC State,4,12/15/97,27.80,JR,21.37,Wide,SLOB,Elite Earner,74,216,27.73,4.6,6,0.00%,0.00%,13.66%,28.34%,29.13%,29.13%,27.68%,19.72,2.83,4.00,15.10,0.82,2.58,7%,21%,4.70%,0.0%,94.65%,5.35%,96.48,97.47
298,28,2022,Velus Jones Jr.,Outlier Lite,6.73,51.50,-0.97,Tennessee,1,5/11/97,28.40,RS SR,24.98,Hybrid,PROTO Z,Elite Separator,72,201,27.26,4.31,3,1.10%,8.90%,0.80%,13.68%,24.15%,24.15%,24.15%,24.33,2.80,8.80,9.30,0.83,2.15,2%,26%,4.60%,0.0%,47.35%,51.65%,116.50,112.95
