Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
216,18,2023,Keaton Mitchell,Outlier Lite,5.38,33.90,-1.11,ECU,6,1/17/02,23.71,JR,21.29,JITTERBUG,#DIV/0!,68,179,27.22,4.37,0,0.00%,0.00%,14.21%,26.38%,28.40%,28.40%,21.30%,7.82%,6.62%,7.22%,5.41%,19.65,98.17,27.21,0.37,7.20,#DIV/0!,#DIV/0!,126.40,3.60,57.70
217,13,2021,Jake Funk,Outlier Lite,5.36,33.60,-1.12,Maryland,2,1/11/98,27.73,RS SR,23.31,DYNAMIC,#DIV/0!,70,204,29.27,4.49,7,3.62%,3.84%,0.04%,4.59%,28.31%,28.31%,28.31%,0.77%,4.85%,4.85%,4.85%,22.67,100.39,29.27,0.23,10.20,#DIV/0!,#DIV/0!,60.70,4.82,89.60
218,14,2021,Gary Brightwell,Outlier Lite,5.34,33.30,-1.12,Arizona,5,2/28/98,27.60,SR,23.18,BELL COW,#DIV/0!,71,218,30.40,4.62,6,0.00%,0.00%,9.87%,8.50%,24.74%,24.74%,21.03%,1.85%,5.35%,5.35%,4.55%,22.53,95.70,30.40,0.32,5.90,#DIV/0!,#DIV/0!,124.20,4.35,39.50
219,19,2017,Brian Hill,Outlier Lite,5.33,33.00,-1.13,Wyoming,7,11/5/95,29.92,JR,21.49,BELL COW,#DIV/0!,71,219,30.54,4.54,5,0.00%,0.00%,21.86%,41.43%,31.80%,36.61%,23.80%,6.76%,2.09%,4.43%,2.88%,18.84,103.10,30.54,0.16,5.80,#DIV/0!,#DIV/0!,55.10,3.19,50.90
220,17,2015,Akeem Hunt,Outlier Lite,5.32,32.70,-1.13,Purdue,2,2/22/93,32.62,SR,22.19,JITTERBUG,#DIV/0!,69,183,27.02,4.38,0,0.00%,6.44%,10.30%,23.68%,30.01%,30.01%,30.01%,42.24%,13.61%,27.92%,27.92%,20.54,99.45,27.02,0.20,5.53,#DIV/0!,#DIV/0!,60.20,3.35,53.20
221,15,2021,Kylin Hill,Outlier Lite,5.27,32.40,-1.16,Mississippi State,1,8/18/98,27.13,SR,22.71,BELL COW,#DIV/0!,71,214,29.85,4.57,7,0.00%,7.92%,17.62%,29.38%,7.80%,18.59%,18.59%,7.72%,7.18%,7.45%,7.45%,20.05,98.12,29.84,0.26,5.50,#DIV/0!,#DIV/0!,116.10,4.03,45.10
222,19,2023,DeWayne McBride,Outlier Lite,5.26,32.10,-1.16,UAB,8,7/8/01,24.24,JR,21.82,BELL CALF,#DIV/0!,70,209,29.99,4.52,7,0.00%,0.00%,12.15%,27.57%,30.07%,30.07%,19.55%,0.71%,0.38%,0.54%,0.35%,20.18,100.14,29.99,0.38,7.30,#DIV/0!,#DIV/0!,177.70,4.72,52.50
223,23,2022,Jashaun Corbin,Outlier Lite,5.26,31.80,-1.16,Florida State,4,8/20/00,25.12,JR,21.70,BELL COW,#DIV/0!,71,202,28.17,4.52,0,0.00%,9.85%,2.98%,14.54%,22.47%,22.47%,20.23%,6.49%,5.95%,6.22%,5.60%,21.05,96.79,28.17,0.24,6.20,#DIV/0!,#DIV/0!,92.40,4.57,47.10
224,20,2017,Joe Williams,Outlier Lite,5.23,31.40,-1.17,Utah,5,9/4/93,32.08,SR,23.66,DYNAMIC,#DIV/0!,71,210,29.29,4.41,4,0.00%,0.00%,0.00%,11.95%,26.72%,26.72%,22.71%,3.59%,3.80%,3.80%,3.23%,23.02,111.04,29.29,0.15,6.60,#DIV/0!,#DIV/0!,54.60,3.42,48.20
225,28,2025,Lan Larison,Outlier Lite,5.22,31.10,-1.18,UC Davis,11,6/6/00,25.33,RS SR,24.91,FREAK,#DIV/0!,72,215,29.16,4.46,0,14.61%,10.01%,15.01%,30.58%,35.41%,35.41%,19.48%,8.00%,18.37%,18.37%,10.10%,22.26,108.67,29.16,0.24,6.31,#DIV/0!,#DIV/0!,105.00,4.24,52.70
226,24,2022,Trestan Ebner,Outlier Lite,5.21,30.80,-1.18,Baylor,3,1/2/99,26.75,RS SR,23.33,DYNAMIC,#DIV/0!,71,206,28.73,4.43,6,7.99%,12.72%,9.69%,14.54%,18.13%,18.13%,16.32%,14.55%,10.34%,12.45%,11.20%,22.69,106.98,28.73,0.33,5.20,#DIV/0!,#DIV/0!,118.50,3.42,41.50
227,17,2016,DJ Foster,Outlier Lite,5.19,30.50,-1.19,Arizona State,3,11/22/93,31.87,SR,22.44,DYNAMIC,#DIV/0!,71,198,27.62,4.57,0,0.00%,16.99%,18.03%,30.73%,13.60%,22.17%,19.95%,19.35%,14.56%,16.96%,15.26%,18.79,90.79,27.61,0.18,5.53,#DIV/0!,#DIV/0!,50.70,2.74,43.30
228,16,2018,Jaylen Samuels,Outlier Lite,5.18,30.20,-1.20,NC State,4,7/20/96,29.21,SR,21.78,BELL COW,#DIV/0!,71,223,31.10,4.54,0,0.00%,4.05%,18.02%,13.93%,16.81%,17.41%,15.67%,16.52%,16.56%,16.56%,14.91%,19.13,104.98,31.10,0.24,6.60,#DIV/0!,#DIV/0!,59.60,3.49,51.40
229,21,2017,T.J. Logan,Purgatory,4.97,29.60,-1.28,North Caroina,4,9/3/94,31.09,SR,22.66,JITTERBUG,#DIV/0!,69,196,28.94,4.37,5,0.00%,11.87%,0.00%,8.07%,15.59%,15.59%,14.04%,4.11%,6.82%,6.82%,6.14%,22.02,107.49,28.94,0.22,6.00,#DIV/0!,#DIV/0!,66.90,3.32,49.10
229,19,2019,Myles Gaskin,Purgatory,4.97,29.60,-1.28,Washington,5,2/15/97,28.63,SR,22.20,BELL CALF,#DIV/0!,69,205,30.27,4.58,7,0.00%,25.15%,23.60%,30.53%,23.20%,26.86%,22.84%,8.03%,2.31%,5.17%,4.39%,18.55,93.18,30.27,0.20,6.20,#DIV/0!,#DIV/0!,82.90,3.57,46.00
231,17,2018,Jordan Wilkins,Purgatory,4.97,29.30,-1.28,Ole Miss,1,7/18/94,31.22,SR,23.79,BELL COW,#DIV/0!,71,217,30.27,4.53,5,0.00%,6.81%,6.80%,0.00%,22.60%,22.60%,22.60%,0.00%,6.19%,6.19%,6.19%,23.15,103.06,30.26,0.21,6.50,#DIV/0!,#DIV/0!,79.00,3.34,47.70
232,16,2021,Kene Nwangwu,Purgatory,4.94,29.00,-1.29,Iowa State,3,2/9/98,27.65,SR,23.23,JITTERBUG,#DIV/0!,71,209,29.15,4.32,4,2.95%,0.00%,3.48%,2.13%,6.89%,6.89%,6.21%,0.20%,0.76%,0.76%,0.68%,N/A,120.02,29.15,0.19,7.20,#DIV/0!,#DIV/0!,51.70,3.31,49.00
233,20,2023,Xazavian Valladay,Purgatory,4.94,28.70,-1.30,Arizona State,4,7/3/98,27.25,RS SR,24.83,BELL COW,#DIV/0!,72,201,27.26,4.55,0,11.01%,32.31%,29.06%,26.63%,31.88%,32.09%,28.88%,11.02%,9.56%,10.29%,9.26%,21.18,93.80,27.26,0.29,5.50,#DIV/0!,#DIV/0!,93.90,3.56,41.70
234,21,2023,Travis Dye,Purgatory,4.90,28.40,-1.31,USC,5,8/24/99,26.11,RS SR,23.69,DYNAMIC,#DIV/0!,70,201,28.84,4.48,0,14.41%,13.35%,23.60%,28.00%,15.39%,21.69%,18.44%,12.85%,4.30%,8.57%,7.29%,21.04,99.80,28.84,0.23,6.10,#DIV/0!,#DIV/0!,87.30,4.25,41.30
235,29,2025,Corey Kiner,Purgatory,4.86,28.10,-1.33,Cincinnati,3,1/21/02,23.70,SR,23.28,BELL CALF,#DIV/0!,69,208,30.72,4.57,0,0.00%,8.20%,9.64%,21.49%,24.77%,24.77%,22.29%,1.95%,3.63%,3.63%,3.27%,21.63,95.37,30.71,0.40,5.62,#DIV/0!,#DIV/0!,163.80,4.12,45.90
236,25,2022,ZaQuandre White,Purgatory,4.86,27.80,-1.33,South Carolina,1,12/21/98,26.79,RS SR,23.37,BELL COW,#DIV/0!,72,206,27.94,4.63,0,0.00%,0.00%,0.00%,1.32%,17.64%,17.64%,17.64%,-0.43%,8.30%,8.30%,8.30%,22.72,89.65,27.94,0.33,6.30,#DIV/0!,#DIV/0!,153.60,4.61,51.20
237,18,2018,Phillip Lindsay,Purgatory,4.86,27.50,-1.33,Colorado,5,7/24/94,31.20,SR,23.77,JITTERBUG,#DIV/0!,68,190,28.89,4.39,0,0.00%,9.53%,16.90%,28.19%,34.52%,34.52%,29.35%,13.78%,8.22%,11.00%,9.35%,21.12,102.31,28.89,0.21,5.10,#DIV/0!,#DIV/0!,75.00,3.24,36.30
238,18,2016,Peyton Barber,Purgatory,4.83,27.20,-1.34,Auburn,1,6/27/94,31.27,JR,21.85,BRUISER,#DIV/0!,70,228,32.71,4.64,0,0.00%,0.00%,0.00%,3.52%,23.46%,23.46%,23.46%,0.00%,4.97%,4.97%,4.97%,21.19,98.38,32.71,0.20,5.40,#DIV/0!,#DIV/0!,74.00,3.70,18.10
239,16,2026,Raleek Brown,Purgatory,4.77,26.90,-1.37,Arizona State,3,8/2/03,22.17,SR,22.75,DYNAMIC,SLASHER,69,195,28.80,4.50,0,0.00%,5.38%,3.64%,5.47%,25.43%,15.45%,13.91%,1.31%,6.45%,1.31%,1.18%,22.10,95.11,28.79,0.25,8.34,#DIV/0!,#DIV/0!,242.50,4.14,59.60
240,22,2023,Mohamed Ibrahim,Purgatory,4.76,26.20,-1.37,Minnesota,2,9/8/98,27.07,RS SR,24.65,BELL CALF,#DIV/0!,68,203,30.87,4.52,0,24.03%,10.99%,41.36%,3.48%,34.04%,37.70%,37.70%,0.00%,2.11%,2.11%,2.11%,19.99,97.27,30.86,0.22,5.40,#DIV/0!,#DIV/0!,75.00,4.90,46.00
240,30,2025,Phil Mafah,Purgatory,4.76,26.20,-1.37,Clemson,4,10/24/02,22.94,SR,22.52,BRUISER,#DIV/0!,73,234,30.87,4.55,0,0.00%,10.53%,9.80%,20.52%,19.36%,19.94%,17.95%,3.64%,2.64%,3.14%,2.83%,20.88,109.19,30.87,0.22,5.43,#DIV/0!,#DIV/0!,81.20,3.67,45.40
242,19,2018,Kalen Ballage,Purgatory,4.75,25.90,-1.38,Arizona State,5,12/22/95,29.79,SR,22.36,FREAK,#DIV/0!,74,228,29.27,4.46,4,0.00%,3.30%,11.49%,21.20%,13.57%,17.38%,14.78%,15.08%,2.74%,8.91%,7.57%,20.71,115.25,29.27,0.12,4.30,#DIV/0!,#DIV/0!,52.90,2.74,39.80
243,17,2021,Demetric Felton,Purgatory,4.71,25.60,-1.39,UCLA,5,7/16/98,27.22,SR,22.80,DYNAMIC,#DIV/0!,69,189,27.91,4.59,6,0.00%,1.23%,4.97%,19.00%,25.97%,25.97%,22.07%,19.37%,10.12%,14.75%,12.54%,21.14,85.16,27.91,0.27,5.10,#DIV/0!,#DIV/0!,91.50,3.36,47.40
244,17,2026,Bryson Washington,Purgatory,4.69,25.30,-1.40,Baylor,3,6/1/05,20.34,RS SO,20.92,DYNAMIC,+RECEIVER,72,203,27.53,4.50,0,0.00%,0.00%,4.06%,25.72%,20.65%,23.19%,20.87%,7.31%,2.17%,4.74%,4.27%,19.27,99.01,27.53,0.16,5.85,#DIV/0!,#DIV/0!,70.50,4.11,38.40
245,19,2016,Devon Johnson,Purgatory,4.68,25.00,-1.41,Marshall,8,7/28/93,32.19,SR,22.76,BRUISER,#DIV/0!,72,238,32.28,4.64,0,0.00%,0.52%,3.85%,25.96%,20.57%,23.27%,15.12%,3.11%,3.51%,3.51%,2.28%,21.11,102.69,32.28,0.24,8.64,#DIV/0!,#DIV/0!,113.00,4.67,56.20
246,16,2020,Joshua Kelley,Purgatory,4.65,24.70,-1.42,UCLA,5,11/20/97,27.87,RS SR,22.44,DYNAMIC,#DIV/0!,70,212,30.42,4.49,4,0.00%,0.00%,0.00%,30.42%,23.23%,26.83%,22.80%,6.76%,2.32%,4.54%,3.86%,20.79,104.32,30.42,0.19,5.50,#DIV/0!,#DIV/0!,51.30,2.85,40.00
247,20,2019,Dexter Williams,Purgatory,4.55,24.40,-1.46,Notre Dame,2,1/6/97,28.74,SR,22.31,BELL COW,#DIV/0!,71,212,29.57,4.57,6,0.00%,1.39%,4.31%,6.40%,19.72%,19.72%,19.72%,0.56%,3.97%,3.97%,3.97%,21.66,97.21,29.56,0.13,9.20,#DIV/0!,#DIV/0!,46.00,4.92,51.10
248,26,2022,Kennedy Brooks,Purgatory,4.53,24.10,-1.47,Oklahoma,3,10/8/98,26.99,RS JR,23.57,BELL COW,#DIV/0!,71,209,29.15,4.59,0,0.00%,0.00%,14.48%,0.00%,22.65%,22.65%,20.39%,0.00%,2.13%,2.13%,1.92%,22.92,94.17,29.15,0.30,6.40,#DIV/0!,#DIV/0!,118.90,3.95,52.70
249,20,2018,Boston Scott,Purgatory,4.52,23.80,-1.48,LA Tech,6,4/27/95,30.44,RS SR,23.01,JITTERBUG,#DIV/0!,66,199,32.12,4.4,6,0.00%,0.05%,4.38%,8.81%,23.31%,23.31%,16.31%,2.46%,6.11%,6.11%,4.27%,22.38,106.19,32.12,0.23,7.30,#DIV/0!,#DIV/0!,115.60,4.93,50.00
250,31,2025,Marcus Yarns,Purgatory,4.50,23.50,-1.48,Delaware,11,10/30/01,23.93,SR,23.51,JITTERBUG,#DIV/0!,71,193,26.92,4.45,0,0.00%,2.58%,12.97%,23.23%,23.69%,23.69%,13.03%,9.46%,10.65%,10.65%,5.86%,21.86,98.43,26.92,0.25,6.89,#DIV/0!,#DIV/0!,95.60,4.22,43.40
251,18,2026,CJ Donaldson,Purgatory,4.47,23.20,-1.49,Ohio State,2,7/9/04,21.23,SR,21.81,FREAK,+RECEIVER,74,237,30.43,4.50,0,0.00%,19.80%,16.38%,16.05%,12.09%,15.94%,15.94%,3.80%,2.59%,3.20%,3.20%,18.17,115.59,30.43,0.18,4.70,#DIV/0!,#DIV/0!,53.00,3.15,29.60
252,20,2016,Brandon Wilds,Purgatory,4.47,22.90,-1.50,South Carolina,1,5/24/93,32.37,SR,22.94,BELL COW,#DIV/0!,73,220,29.03,4.54,0,12.81%,0.00%,10.74%,13.40%,21.75%,21.75%,21.75%,4.22%,7.55%,7.55%,7.55%,22.29,103.57,29.02,0.17,5.38,#DIV/0!,#DIV/0!,50.80,2.63,38.10
253,22,2017,Devante Mays,Purgatory,4.46,22.60,-1.50,Utah State,7,5/26/94,31.36,SR,22.94,FREAK,#DIV/0!,71,230,32.08,4.39,7,0.00%,0.00%,0.00%,20.55%,5.91%,13.23%,8.60%,0.34%,0.32%,0.33%,0.21%,21.28,123.85,32.07,0.24,7.00,#DIV/0!,#DIV/0!,122.30,5.16,53.30
254,18,2021,Deon Jackson,Purgatory,4.44,22.30,-1.51,Duke,4,2/18/99,26.62,SR,22.21,FREAK,#DIV/0!,71,218,30.40,4.42,0,0.00%,2.02%,20.74%,21.28%,18.09%,19.69%,17.72%,9.01%,3.31%,6.16%,5.55%,19.55,114.23,30.40,0.22,4.20,#DIV/0!,#DIV/0!,72.80,3.70,42.00
255,32,2025,Kyle Monangai,Purgatory,4.43,22.00,-1.51,Rutgers,2,3/15/02,23.55,RS SR,23.13,BELL CALF,#DIV/0!,68,211,32.08,4.6,7,0.00%,8.63%,14.08%,33.69%,32.16%,32.93%,32.93%,4.36%,3.29%,3.83%,3.83%,21.49,94.25,32.08,0.30,5.22,#DIV/0!,#DIV/0!,113.60,3.64,36.90
256,25,2024,Kendall Milton,Purgatory,4.37,21.70,-1.54,Georgia,1,2/10/02,23.64,SR,22.22,BRUISER,#DIV/0!,73,225,29.68,4.62,0,0.00%,7.07%,8.61%,9.82%,12.63%,12.63%,12.63%,1.20%,0.63%,0.91%,0.91%,N/A,98.77,29.68,0.25,6.91,#DIV/0!,#DIV/0!,105.40,4.12,47.50
257,21,2018,Gus Edwards,Purgatory,4.36,21.40,-1.54,Rutgers,1,4/13/95,30.48,SR,23.05,BRUISER,#DIV/0!,73,238,31.40,4.52,0,8.82%,9.13%,0.00%,7.02%,25.74%,25.74%,25.74%,0.33%,7.43%,7.43%,7.43%,22.41,114.04,31.40,0.20,4.90,#DIV/0!,#DIV/0!,69.20,3.50,30.70
258,19,2026,Dylan Edwards,Purgatory,4.34,21.10,-1.55,Kansas State,3,9/22/04,21.03,JR,21.61,JITTERBUG,+RECEIVER,69,167,24.66,4.35,0,0.00%,0.00%,14.28%,13.25%,0.00%,13.77%,12.39%,5.24%,0.00%,5.24%,4.72%,N/A,93.28,24.66,0.27,7.38,#DIV/0!,0.00,120.40,4.15,51.30
259,19,2021,Chris Evans,Purgatory,4.31,20.70,-1.56,Michigan,2,10/5/97,28.00,SR,23.58,BELL COW,#DIV/0!,71,211,29.43,4.52,6,12.69%,17.52%,10.47%,0.00%,6.98%,12.25%,12.25%,0.00%,5.79%,5.79%,5.79%,19.92,101.10,29.43,0.31,4.60,#DIV/0!,#DIV/0!,68.30,2.44,21.90
260,21,2019,Kerrith Whyte Jr.,Purgatory,4.26,20.40,-1.59,FAU,10,10/31/96,28.93,RS JR,22.50,DYNAMIC,#DIV/0!,70,204,29.27,4.37,7,0.00%,0.00%,3.47%,5.80%,17.72%,17.72%,10.63%,2.01%,5.84%,5.84%,3.50%,21.85,111.88,29.27,0.25,6.40,#DIV/0!,#DIV/0!,92.70,3.92,46.50
261,26,2024,Daijun Edwards,Purgatory,4.23,20.10,-1.60,Georgia,1,4/11/01,24.48,SR,23.06,BELL CALF,#DIV/0!,70,207,29.70,4.55,6,0.00%,8.69%,5.80%,4.20%,18.06%,18.06%,18.06%,2.28%,5.38%,5.38%,5.38%,22.41,96.60,29.70,0.25,5.60,#DIV/0!,#DIV/0!,77.70,3.06,39.90
262,22,2019,Rodney Anderson,Purgatory,4.22,19.80,-1.60,Oklahoma,3,9/12/96,29.06,JR,22.63,BELL COW,#DIV/0!,72,224,30.38,4.59,6,0.00%,0.07%,0.00%,17.77%,1.49%,17.77%,15.99%,5.55%,0.00%,2.77%,2.50%,20.98,100.93,30.38,0.16,6.20,#DIV/0!,#DIV/0!,66.40,3.89,46.10
263,20,2026,LJ Martin,Purgatory,4.17,19.50,-1.62,BYU,3,9/21/04,21.03,JR,21.61,FREAK,+RECEIVER,74,220,28.25,4.50,0,0.00%,0.00%,18.15%,20.88%,0.00%,10.44%,9.39%,4.24%,0.00%,2.12%,1.91%,18.96,107.30,28.24,0.28,5.26,#DIV/0!,0.00,93.00,3.42,42.40
264,17,2020,J.J. Taylor,Purgatory,4.12,19.20,-1.64,Arizona,4,1/4/98,27.75,RS JR,22.32,DYNAMIC,#DIV/0!,65,185,30.79,4.61,0,0.00%,5.59%,13.84%,28.39%,19.14%,23.77%,21.39%,4.34%,9.15%,9.15%,8.23%,20.67,81.92,30.78,0.26,5.60,#DIV/0!,#DIV/0!,88.00,3.30,36.90
265,33,2025,Ja'Quinden Jackson,Purgatory,4.11,18.90,-1.65,Arkansas,1,9/12/01,24.06,RS SR,23.64,BRUISER,#DIV/0!,73,229,30.21,4.55,0,0.00%,4.50%,9.61%,20.45%,20.44%,20.44%,20.44%,2.66%,5.06%,5.06%,5.06%,21.99,106.86,30.21,0.28,5.37,#DIV/0!,#DIV/0!,97.30,3.50,28.00
266,23,2017,Matt Dayes,Purgatory,4.06,18.60,-1.67,NC State,4,9/3/94,31.09,SR,22.66,BELL CALF,#DIV/0!,68,207,31.47,4.66,7,0.00%,8.78%,16.81%,19.40%,26.36%,26.36%,23.73%,6.31%,7.63%,7.63%,6.86%,20.01,87.79,31.47,0.17,6.50,#DIV/0!,#DIV/0!,48.90,2.97,46.70
267,27,2022,Isiah Pacheco,Purgatory,4.06,18.00,-1.67,Rutgers,2,3/2/99,26.59,SR,23.17,FREAK,#DIV/0!,70,216,30.99,4.37,7,0.00%,17.46%,24.78%,21.26%,16.86%,20.82%,20.82%,7.32%,1.12%,4.22%,4.22%,19.52,118.46,30.99,0.16,4.50,#DIV/0!,#DIV/0!,47.30,3.31,44.00
267,21,2026,Noah Whittington,Purgatory,4.06,18.00,-1.67,Oregon,2,6/1/01,24.34,RS SR,24.92,DYNAMIC,SLASHER,68,200,30.41,4.50,0,10.52%,14.54%,10.54%,11.04%,10.52%,12.53%,12.53%,3.48%,0.00%,1.74%,1.74%,N/A,97.55,30.41,0.21,11.36,#DIV/0!,#DIV/0!,101.00,4.71,59.10
269,18,2020,Rico Dowdle,Purgatory,4.04,17.70,-1.68,South Carolina,1,6/14/98,27.31,SR,21.87,BELL COW,#DIV/0!,71,209,29.15,4.54,0,0.00%,17.82%,8.69%,14.19%,14.90%,16.36%,16.36%,3.75%,6.26%,6.26%,6.26%,18.23,98.39,29.15,0.21,5.30,#DIV/0!,#DIV/0!,69.30,3.36,42.20
270,28,2022,Brittain Brown,Purgatory,4.03,17.40,-1.68,UCLA,5,10/10/97,27.98,RS SR,24.56,BELL COW,#DIV/0!,73,205,27.05,4.69,7,20.32%,8.27%,1.74%,15.43%,14.07%,17.19%,14.61%,3.43%,4.75%,4.75%,4.04%,19.90,84.74,27.04,0.23,6.60,#DIV/0!,#DIV/0!,98.00,4.79,52.10
271,23,2019,Ryquell Armstead,Purgatory,4.01,17.10,-1.69,Temple,6,10/30/96,28.93,SR,22.50,FREAK,#DIV/0!,71,220,30.68,4.45,5,0.00%,3.93%,16.58%,13.79%,21.66%,21.66%,16.24%,2.29%,1.58%,1.93%,1.45%,19.85,112.21,30.68,0.21,5.90,#DIV/0!,#DIV/0!,78.10,3.70,44.60
272,20,2021,Larry Rountree III,Purgatory,4.01,16.80,-1.69,Missouri,1,2/13/99,26.64,SR,22.22,BELL COW,#DIV/0!,71,211,29.43,4.7,6,0.00%,11.64%,20.41%,20.22%,27.09%,27.09%,27.09%,2.62%,3.75%,3.75%,3.75%,19.56,86.48,29.43,0.19,4.70,#DIV/0!,#DIV/0!,59.50,3.39,38.20
273,27,2024,Cody Schrader,Purgatory,3.98,16.50,-1.70,Missouri,1,9/8/99,26.07,RS SR,24.65,BELL CALF,#DIV/0!,68,202,30.71,4.61,0,17.87%,27.75%,44.81%,18.35%,32.20%,38.51%,38.51%,4.92%,5.60%,5.60%,5.60%,19.99,89.45,30.71,0.18,5.80,#DIV/0!,#DIV/0!,56.70,3.07,35.90
274,24,2017,Khalfani Muhammad,Purgatory,3.98,16.20,-1.70,California,5,9/26/94,31.02,SR,22.60,JITTERBUG,#DIV/0!,67,170,26.63,4.34,7,0.00%,11.61%,4.63%,11.21%,15.57%,15.57%,13.24%,3.86%,3.07%,3.46%,2.94%,21.96,95.83,26.62,0.23,6.70,#DIV/0!,#DIV/0!,100.30,3.60,51.20
275,22,2026,Jaydn Ott,Purgatory,3.97,15.90,-1.71,Oklahoma,1,12/16/02,22.80,SR,23.38,DYNAMIC,+RECEIVER,71,208,29.01,4.46,0,0.00%,27.68%,32.12%,15.97%,1.18%,16.65%,16.65%,8.58%,0.00%,4.29%,4.29%,19.73,105.14,29.01,0.24,5.33,#DIV/0!,#DIV/0!,79.70,3.39,49.90
276,25,2017,Corey Clement,Purgatory,3.94,15.50,-1.72,Wisconsin,2,11/2/94,30.92,SR,22.50,BELL CALF,#DIV/0!,70,221,31.71,4.68,0,0.00%,8.89%,16.30%,5.00%,27.72%,27.72%,27.72%,0.67%,5.38%,5.38%,5.38%,19.84,92.14,31.71,0.21,4.70,#DIV/0!,#DIV/0!,55.40,2.77,45.70
277,28,2024,Dillon Johnson,Purgatory,3.89,15.20,-1.74,Washington,5,6/15/01,24.30,RS JR,22.88,BELL COW,#DIV/0!,72,217,29.43,4.68,0,0.00%,10.21%,15.80%,17.89%,21.32%,21.32%,18.12%,8.00%,3.95%,5.98%,5.08%,20.22,90.47,29.43,0.21,5.61,#DIV/0!,#DIV/0!,85.10,3.51,35.20
278,18,2015,Terrence MaGee,Purgatory,3.81,14.90,-1.78,LSU,1,3/16/93,32.56,SR,22.13,BELL CALF,#DIV/0!,68,213,32.39,4.62,0,0.00%,7.49%,0.00%,11.45%,14.79%,14.79%,14.79%,1.86%,8.07%,8.07%,8.07%,N/A,93.51,32.38,0.20,7.28,#DIV/0!,#DIV/0!,54.60,2.43,32.40
279,23,2026,Rueben Owens,Purgatory,3.79,14.60,-1.78,Texas A&M,1,6/1/05,20.34,RS SO,20.92,FREAK,+RECEIVER,72,215,29.16,4.50,0,0.00%,0.00%,9.34%,8.87%,8.10%,8.72%,8.72%,1.43%,3.71%,3.71%,3.71%,N/A,104.86,29.16,0.23,5.47,#DIV/0!,#DIV/0!,40.70,3.67,58.50
280,19,2020,Darius Anderson,Purgatory,3.76,14.30,-1.80,TCU,3,9/10/97,28.07,SR,22.63,BELL CALF,#DIV/0!,70,208,29.84,4.61,0,0.00%,4.14%,14.18%,12.89%,19.58%,19.58%,17.62%,0.69%,5.24%,5.24%,4.71%,22.00,92.11,29.84,0.28,5.40,#DIV/0!,#DIV/0!,106.70,3.89,35.30
281,24,2026,Kaden Feagin,Purgatory,3.75,14.00,-1.80,Illinois,2,3/23/04,21.53,JR,22.11,FREAK,+RECEIVER,75,250,31.25,4.50,0,0.00%,0.00%,15.74%,18.70%,18.36%,18.70%,18.70%,3.50%,1.80%,3.50%,3.50%,19.46,121.93,31.24,0.17,4.61,#DIV/0!,#DIV/0!,47.60,3.21,40.10
282,21,2016,Shadrach Thornton,Purgatory,3.68,13.70,-1.83,North Carolina State,4,5/25/93,32.36,SR,22.94,BELL COW,#DIV/0!,72,217,29.43,4.75,0,0.00%,22.98%,19.49%,19.40%,16.37%,19.68%,17.71%,5.02%,0.00%,2.51%,2.26%,19.28,85.25,29.43,0.19,6.77,#DIV/0!,#DIV/0!,56.20,2.87,35.50
283,26,2017,De'Angelo Henderson,Purgatory,3.65,13.40,-1.84,Coastal Carolina,8,11/24/92,32.86,SR,24.44,DYNAMIC,#DIV/0!,67,208,32.58,4.48,6,0.00%,8.60%,27.07%,30.99%,27.35%,29.17%,18.96%,12.66%,11.88%,12.27%,7.97%,21.78,103.27,32.57,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,0.00
284,22,2016,Tra Carson,Purgatory,3.62,13.10,-1.85,Texas A&M,1,5/26/93,32.36,SR,22.94,BRUISER,#DIV/0!,71,227,31.66,4.63,0,4.97%,0.00%,6.20%,12.04%,24.39%,24.39%,24.39%,2.13%,5.45%,5.45%,5.45%,22.28,98.79,31.66,0.18,4.85,#DIV/0!,#DIV/0!,50.10,2.76,27.90
285,23,2016,Keith Marshall,Purgatory,3.60,12.80,-1.86,Georgia,1,2/16/94,31.63,SR,22.21,FREAK,#DIV/0!,71,219,30.54,4.31,7,0.00%,12.98%,14.75%,1.38%,9.13%,11.94%,11.94%,-0.83%,1.38%,1.38%,1.38%,N/A,126.93,30.54,0.18,5.13,#DIV/0!,#DIV/0!,46.30,2.78,19.50
286,24,2016,Daniel Lasco,Purgatory,3.58,12.50,-1.87,California,5,10/9/92,32.99,SR,23.56,DYNAMIC,#DIV/0!,72,209,28.35,4.46,7,0.00%,2.32%,10.89%,24.61%,6.62%,15.62%,13.27%,8.18%,0.64%,4.41%,3.75%,21.91,105.64,28.34,0.17,5.29,#DIV/0!,#DIV/0!,53.20,2.81,25.60
287,19,2015,Marcus Murphy,Purgatory,3.58,12.20,-1.87,Missouri,1,10/3/91,34.01,SR,23.58,DYNAMIC,#DIV/0!,69,198,29.24,4.61,7,3.78%,0.00%,6.38%,9.90%,22.11%,22.11%,22.11%,2.37%,8.01%,8.01%,8.01%,22.93,87.68,29.24,0.19,6.53,#DIV/0!,#DIV/0!,55.60,3.00,36.80
